UA08CD,UA08NM,UA08NMW,NAWER08CD,NAWER08NM
00NA,Isle of Anglesey,Ynys M̫n,NAWER06,North Wales
00NC,Gwynedd,Gwynedd,NAWER06,North Wales
00NC,Gwynedd,Gwynedd,NAWER07,Mid and West Wales
00NE,Conwy,Conwy,NAWER06,North Wales
00NG,Denbighshire,Sir Ddinbych,NAWER06,North Wales
00NJ,Flintshire,Sir y Fflint,NAWER06,North Wales
00NL,Wrexham,Wrecsam,NAWER06,North Wales
00NN,Powys,Powys,NAWER07,Mid and West Wales
00NQ,Ceredigion,Sir Ceredigion,NAWER07,Mid and West Wales
00NS,Pembrokeshire,Sir Benfro,NAWER07,Mid and West Wales
00NU,Carmarthenshire,Sir Gaerfyrddin,NAWER07,Mid and West Wales
00NX,Swansea,Abertawe,NAWER08,South Wales West
00NZ,Neath Port Talbot,Castell-nedd Port Talbot,NAWER08,South Wales West
00PB,Bridgend,Pen-y-bont ar Ogwr,NAWER08,South Wales West
00PD,The Vale of Glamorgan,Bro Morgannwg,NAWER09,South Wales Central
00PF,"Rhondda, Cynon, Taff",Rhondda Cynon Taf,NAWER08,South Wales West
00PF,"Rhondda, Cynon, Taff",Rhondda Cynon Taf,NAWER09,South Wales Central
00PH,Merthyr Tydfil,Merthyr Tudful,NAWER10,South Wales East
00PK,Caerphilly,Caerffili,NAWER10,South Wales East
00PL,Blaenau Gwent,Blaenau Gwent,NAWER10,South Wales East
00PM,Torfaen,Tor-faen,NAWER10,South Wales East
00PP,Monmouthshire,Sir Fynwy,NAWER10,South Wales East
00PR,Newport,Casnewydd,NAWER10,South Wales East
00PT,Cardiff,Caerdydd,NAWER09,South Wales Central