UA08CD,UA08NM,WD08CD,WD08NM,NARCA08CD,NARCA08NM
00NA,Isle of Anglesey,,,RCA1,North Wales
00NC,Gwynedd,00NCQA,Aberdaron,RCA1,North Wales
00NC,Gwynedd,00NCQB,Aberdovey,RCA2,Mid and West Wales
00NC,Gwynedd,00NCQC,Abererch,RCA1,North Wales
00NC,Gwynedd,00NCQD,Abermaw,RCA2,Mid and West Wales
00NC,Gwynedd,00NCQE,Abersoch,RCA1,North Wales
00NC,Gwynedd,00NCQF,Arllechwedd,RCA1,North Wales
00NC,Gwynedd,00NCQG,Bala,RCA2,Mid and West Wales
00NC,Gwynedd,00NCQH,Bethel,RCA1,North Wales
00NC,Gwynedd,00NCQJ,Bontnewydd,RCA1,North Wales
00NC,Gwynedd,00NCQK,Botwnnog,RCA1,North Wales
00NC,Gwynedd,00NCQL,Bowydd and Rhiw,RCA2,Mid and West Wales
00NC,Gwynedd,00NCQM,Brithdir and Llanfachreth/Ganllwyd/Llanelltyd,RCA2,Mid and West Wales
00NC,Gwynedd,00NCQN,Bryn-crug/Llanfihangel,RCA2,Mid and West Wales
00NC,Gwynedd,00NCQP,Cadnant,RCA1,North Wales
00NC,Gwynedd,00NCQQ,Clynnog,RCA1,North Wales
00NC,Gwynedd,00NCQR,Corris/Mawddwy,RCA2,Mid and West Wales
00NC,Gwynedd,00NCQS,Criccieth,RCA1,North Wales
00NC,Gwynedd,00NCQT,Cwm-y-Glo,RCA1,North Wales
00NC,Gwynedd,00NCQU,Deiniol,RCA1,North Wales
00NC,Gwynedd,00NCQW,Deiniolen,RCA1,North Wales
00NC,Gwynedd,00NCQX,Dewi,RCA1,North Wales
00NC,Gwynedd,00NCQY,Diffwys and Maenofferen,RCA2,Mid and West Wales
00NC,Gwynedd,00NCQZ,Dolbenmaen,RCA1,North Wales
00NC,Gwynedd,00NCRA,Dolgellau North,RCA2,Mid and West Wales
00NC,Gwynedd,00NCRB,Dolgellau South,RCA2,Mid and West Wales
00NC,Gwynedd,00NCRC,Dyffryn Ardudwy,RCA2,Mid and West Wales
00NC,Gwynedd,00NCRD,Efail-newydd/Buan,RCA1,North Wales
00NC,Gwynedd,00NCRE,Garth,RCA1,North Wales
00NC,Gwynedd,00NCRF,Gerlan,RCA1,North Wales
00NC,Gwynedd,00NCRG,Glyder,RCA1,North Wales
00NC,Gwynedd,00NCRH,Groeslon,RCA1,North Wales
00NC,Gwynedd,00NCRJ,Harlech,RCA2,Mid and West Wales
00NC,Gwynedd,00NCRK,Hendre,RCA1,North Wales
00NC,Gwynedd,00NCRL,Hirael,RCA1,North Wales
00NC,Gwynedd,00NCRM,Llanaelhaearn,RCA1,North Wales
00NC,Gwynedd,00NCRN,Llanbedr,RCA2,Mid and West Wales
00NC,Gwynedd,00NCRP,Llanbedrog,RCA1,North Wales
00NC,Gwynedd,00NCRQ,Llanberis,RCA1,North Wales
00NC,Gwynedd,00NCRR,Llandderfel,RCA2,Mid and West Wales
00NC,Gwynedd,00NCRS,Llanengan,RCA1,North Wales
00NC,Gwynedd,00NCRT,Llangelynin,RCA2,Mid and West Wales
00NC,Gwynedd,00NCRU,Llanllyfni,RCA1,North Wales
00NC,Gwynedd,00NCRW,Llanrug,RCA1,North Wales
00NC,Gwynedd,00NCRX,Llanuwchllyn,RCA2,Mid and West Wales
00NC,Gwynedd,00NCRY,Llanwnda,RCA1,North Wales
00NC,Gwynedd,00NCRZ,Llanystumdwy,RCA1,North Wales
00NC,Gwynedd,00NCSA,Marchog,RCA1,North Wales
00NC,Gwynedd,00NCSB,Menai (Bangor),RCA1,North Wales
00NC,Gwynedd,00NCSC,Menai (Caernarfon),RCA1,North Wales
00NC,Gwynedd,00NCSD,Morfa Nefyn,RCA1,North Wales
00NC,Gwynedd,00NCSE,Nefyn,RCA1,North Wales
00NC,Gwynedd,00NCSF,Ogwen,RCA1,North Wales
00NC,Gwynedd,00NCSG,Peblig (Caernarfon),RCA1,North Wales
00NC,Gwynedd,00NCSH,Penisarwaun,RCA1,North Wales
00NC,Gwynedd,00NCSJ,Penrhyndeudraeth,RCA2,Mid and West Wales
00NC,Gwynedd,00NCSK,Pentir,RCA1,North Wales
00NC,Gwynedd,00NCSL,Penygroes,RCA1,North Wales
00NC,Gwynedd,00NCSM,Porthmadog East,RCA1,North Wales
00NC,Gwynedd,00NCSN,Porthmadog West,RCA1,North Wales
00NC,Gwynedd,00NCSP,Porthmadog-Tremadog,RCA1,North Wales
00NC,Gwynedd,00NCSQ,Pwllheli North,RCA1,North Wales
00NC,Gwynedd,00NCSR,Pwllheli South,RCA1,North Wales
00NC,Gwynedd,00NCST,Seiont,RCA1,North Wales
00NC,Gwynedd,00NCSU,Talysarn,RCA1,North Wales
00NC,Gwynedd,00NCSW,Teigl,RCA2,Mid and West Wales
00NC,Gwynedd,00NCSX,Trawsfynydd,RCA2,Mid and West Wales
00NC,Gwynedd,00NCSY,Tregarth & Mynydd Llandygai,RCA1,North Wales
00NC,Gwynedd,00NCSZ,Tudweiliog,RCA1,North Wales
00NC,Gwynedd,00NCTA,Tywyn,RCA2,Mid and West Wales
00NC,Gwynedd,00NCTB,Waunfawr,RCA1,North Wales
00NC,Gwynedd,00NCTC,Y Felinheli,RCA1,North Wales
00NE,Conwy,00NENT,Abergele Pensarn,RCA1,North Wales
00NE,Conwy,00NENU,Betws-y-Coed,RCA2,Mid and West Wales
00NE,Conwy,00NENW,Betws yn Rhos,RCA1,North Wales
00NE,Conwy,00NENX,Bryn,RCA1,North Wales
00NE,Conwy,00NENY,Caerhun,RCA1,North Wales
00NE,Conwy,00NENZ,Capelulo,RCA1,North Wales
00NE,Conwy,00NEPA,Colwyn,RCA1,North Wales
00NE,Conwy,00NEPB,Conwy,RCA1,North Wales
00NE,Conwy,00NEPC,Craig-y-Don,RCA1,North Wales
00NE,Conwy,00NEPD,Crwst,RCA2,Mid and West Wales
00NE,Conwy,00NEPE,Deganwy,RCA1,North Wales
00NE,Conwy,00NEPF,Eglwysbach,RCA2,Mid and West Wales
00NE,Conwy,00NEPG,Eirias,RCA1,North Wales
00NE,Conwy,00NEPH,Gele,RCA1,North Wales
00NE,Conwy,00NEPJ,Glyn,RCA1,North Wales
00NE,Conwy,00NEPK,Gogarth,RCA1,North Wales
00NE,Conwy,00NEPL,Gower,RCA2,Mid and West Wales
00NE,Conwy,00NEPM,Kinmel Bay,RCA1,North Wales
00NE,Conwy,00NEPN,Llanddulas,RCA1,North Wales
00NE,Conwy,00NEPP,Llandrillo yn Rhos,RCA1,North Wales
00NE,Conwy,00NEPQ,Llangernyw,RCA1,North Wales
00NE,Conwy,00NEPR,Llansanffraid,RCA1,North Wales
00NE,Conwy,00NEPS,Llansannan,RCA1,North Wales
00NE,Conwy,00NEPT,Llysfaen,RCA1,North Wales
00NE,Conwy,00NEPU,Marl,RCA1,North Wales
00NE,Conwy,00NEPW,Mochdre,RCA1,North Wales
00NE,Conwy,00NEPX,Mostyn,RCA1,North Wales
00NE,Conwy,00NEPY,Pandy,RCA1,North Wales
00NE,Conwy,00NEPZ,Pant-yr-afon/Penmaenan,RCA1,North Wales
00NE,Conwy,00NEQA,Penrhyn,RCA1,North Wales
00NE,Conwy,00NEQB,Pensarn,RCA1,North Wales
00NE,Conwy,00NEQC,Pentre Mawr,RCA1,North Wales
00NE,Conwy,00NEQD,Rhiw,RCA1,North Wales
00NE,Conwy,00NEQE,Towyn,RCA1,North Wales
00NE,Conwy,00NEQF,Trefriw,RCA2,Mid and West Wales
00NE,Conwy,00NEQG,Tudno,RCA1,North Wales
00NE,Conwy,00NEQH,Uwch Conwy,RCA2,Mid and West Wales
00NE,Conwy,00NEQJ,Uwchaled,RCA1,North Wales
00NG,Denbighshire,,,RCA1,North Wales
00NJ,Flintshire,,,RCA1,North Wales
00NL,Wrexham,,,RCA1,North Wales
00NN,Powys,00NNQG,Aber-craf,RCA2,Mid and West Wales
00NN,Powys,00NNQH,Banwy,RCA2,Mid and West Wales
00NN,Powys,00NNQJ,Beguildy,RCA2,Mid and West Wales
00NN,Powys,00NNQK,Berriew,RCA2,Mid and West Wales
00NN,Powys,00NNQL,Blaen Hafren,RCA2,Mid and West Wales
00NN,Powys,00NNQM,Bronllys,RCA2,Mid and West Wales
00NN,Powys,00NNQN,Builth,RCA2,Mid and West Wales
00NN,Powys,00NNQP,Bwlch,RCA2,Mid and West Wales
00NN,Powys,00NNQQ,Caersws,RCA2,Mid and West Wales
00NN,Powys,00NNQR,Churchstoke,RCA2,Mid and West Wales
00NN,Powys,00NNQS,Crickhowell,RCA2,Mid and West Wales
00NN,Powys,00NNQT,Cwm-twrch,RCA2,Mid and West Wales
00NN,Powys,00NNQT,Cwm-twrch,RCA3,South Wales West
00NN,Powys,00NNQU,Disserth and Trecoed,RCA2,Mid and West Wales
00NN,Powys,00NNQW,Dolforwyn,RCA2,Mid and West Wales
00NN,Powys,00NNQX,Felin-fâch,RCA2,Mid and West Wales
00NN,Powys,00NNQY,Forden,RCA2,Mid and West Wales
00NN,Powys,00NNQZ,Glantwymyn,RCA2,Mid and West Wales
00NN,Powys,00NNRA,Glasbury,RCA2,Mid and West Wales
00NN,Powys,00NNRB,Guilsfield,RCA2,Mid and West Wales
00NN,Powys,00NNRC,Gwernyfed,RCA2,Mid and West Wales
00NN,Powys,00NNRD,Hay,RCA2,Mid and West Wales
00NN,Powys,00NNRE,Kerry,RCA2,Mid and West Wales
00NN,Powys,00NNRF,Knighton,RCA2,Mid and West Wales
00NN,Powys,00NNRG,Llanafanfawr,RCA2,Mid and West Wales
00NN,Powys,00NNRH,Llanbadarn Fawr,RCA2,Mid and West Wales
00NN,Powys,00NNRJ,Llanbrynmair,RCA2,Mid and West Wales
00NN,Powys,00NNRK,Llandinam,RCA2,Mid and West Wales
00NN,Powys,00NNRL,Llandrindod East/Llandrindod West,RCA2,Mid and West Wales
00NN,Powys,00NNRM,Llandrindod North,RCA2,Mid and West Wales
00NN,Powys,00NNRN,Llandrindod South,RCA2,Mid and West Wales
00NN,Powys,00NNRP,Llandrinio,RCA2,Mid and West Wales
00NN,Powys,00NNRQ,Llandysilio,RCA2,Mid and West Wales
00NN,Powys,00NNRR,Llanelwedd,RCA2,Mid and West Wales
00NN,Powys,00NNRS,Llanfair Caereinion,RCA2,Mid and West Wales
00NN,Powys,00NNRT,Llanfihangel,RCA2,Mid and West Wales
00NN,Powys,00NNRU,Llanfyllin,RCA2,Mid and West Wales
00NN,Powys,00NNRW,Llangattock,RCA2,Mid and West Wales
00NN,Powys,00NNRX,Llangors,RCA2,Mid and West Wales
00NN,Powys,00NNRY,Llangunllo,RCA2,Mid and West Wales
00NN,Powys,00NNRZ,Llangynidr,RCA2,Mid and West Wales
00NN,Powys,00NNSA,Llanidloes,RCA2,Mid and West Wales
00NN,Powys,00NNSB,Llanrhaeadr-ym-Mochnant,RCA2,Mid and West Wales
00NN,Powys,00NNSC,Llanrhaeadr-ym-Mochnant/Llansilin,RCA1,North Wales
00NN,Powys,00NNSD,Llansantffraid,RCA2,Mid and West Wales
00NN,Powys,00NNSE,Llanwrtyd Wells,RCA2,Mid and West Wales
00NN,Powys,00NNSF,Llanyre,RCA2,Mid and West Wales
00NN,Powys,00NNSG,Machynlleth,RCA2,Mid and West Wales
00NN,Powys,00NNSH,Maescar/Llywel,RCA2,Mid and West Wales
00NN,Powys,00NNSJ,Meifod,RCA2,Mid and West Wales
00NN,Powys,00NNSK,Montgomery,RCA2,Mid and West Wales
00NN,Powys,00NNSL,Nantmel,RCA2,Mid and West Wales
00NN,Powys,00NNSM,Newtown Central,RCA2,Mid and West Wales
00NN,Powys,00NNSN,Newtown East,RCA2,Mid and West Wales
00NN,Powys,00NNSP,Newtown Llanllwchaiarn North,RCA2,Mid and West Wales
00NN,Powys,00NNSQ,Newtown Llanllwchaiarn West,RCA2,Mid and West Wales
00NN,Powys,00NNSR,Newtown South,RCA2,Mid and West Wales
00NN,Powys,00NNST,Old Radnor,RCA2,Mid and West Wales
00NN,Powys,00NNSU,Presteigne,RCA2,Mid and West Wales
00NN,Powys,00NNSW,Rhayader,RCA2,Mid and West Wales
00NN,Powys,00NNSX,Rhiwcynon,RCA2,Mid and West Wales
00NN,Powys,00NNSY,St. David Within,RCA2,Mid and West Wales
00NN,Powys,00NNSZ,St. John,RCA2,Mid and West Wales
00NN,Powys,00NNTA,St. Mary,RCA2,Mid and West Wales
00NN,Powys,00NNTB,Talgarth,RCA2,Mid and West Wales
00NN,Powys,00NNTC,Talybont-on-Usk,RCA2,Mid and West Wales
00NN,Powys,00NNTD,Tawe-Uchaf,RCA2,Mid and West Wales
00NN,Powys,00NNTE,Trewern,RCA2,Mid and West Wales
00NN,Powys,00NNTF,Welshpool Castle,RCA2,Mid and West Wales
00NN,Powys,00NNTG,Welshpool Gungrog,RCA2,Mid and West Wales
00NN,Powys,00NNTH,Welshpool Llanerchyddol,RCA2,Mid and West Wales
00NN,Powys,00NNTJ,Ynyscedwyn,RCA2,Mid and West Wales
00NN,Powys,00NNTK,Yscir,RCA2,Mid and West Wales
00NN,Powys,00NNTL,Ystradgynlais,RCA2,Mid and West Wales
00NQ,Ceredigion,,,RCA2,Mid and West Wales
00NS,Pembrokeshire,,,RCA2,Mid and West Wales
00NU,Carmarthenshire,,,RCA2,Mid and West Wales
00NX,Swansea,,,RCA3,South Wales West
00NZ,Neath Port Talbot,,,RCA3,South Wales West
00PB,Bridgend,00PBNF,Aberkenfig,RCA3,South Wales West
00PB,Bridgend,00PBNG,Bettws,RCA3,South Wales West
00PB,Bridgend,00PBNH,Blackmill,RCA3,South Wales West
00PB,Bridgend,00PBNJ,Blaengarw,RCA3,South Wales West
00PB,Bridgend,00PBNK,Brackla,RCA3,South Wales West
00PB,Bridgend,00PBNL,Bryncethin,RCA3,South Wales West
00PB,Bridgend,00PBNM,Bryncoch,RCA3,South Wales West
00PB,Bridgend,00PBNN,"Bryntirion, Laleston and Merthyr Mawr",RCA3,South Wales West
00PB,Bridgend,00PBNP,Caerau,RCA3,South Wales West
00PB,Bridgend,00PBNQ,Cefn Cribwr,RCA3,South Wales West
00PB,Bridgend,00PBNR,Cefn Glas,RCA3,South Wales West
00PB,Bridgend,00PBNS,Coity,RCA3,South Wales West
00PB,Bridgend,00PBNT,Cornelly,RCA3,South Wales West
00PB,Bridgend,00PBNU,Coychurch Lower,RCA3,South Wales West
00PB,Bridgend,00PBNU,Coychurch Lower,RCA4,South Wales Central
00PB,Bridgend,00PBNW,Felindre,RCA3,South Wales West
00PB,Bridgend,00PBNX,Hendre,RCA3,South Wales West
00PB,Bridgend,00PBNY,Litchard,RCA3,South Wales West
00PB,Bridgend,00PBNZ,Llangeinor,RCA3,South Wales West
00PB,Bridgend,00PBPA,Llangewydd and Brynhyfryd,RCA3,South Wales West
00PB,Bridgend,00PBPB,Llangynwyd,RCA3,South Wales West
00PB,Bridgend,00PBPC,Maesteg East,RCA3,South Wales West
00PB,Bridgend,00PBPD,Maesteg West,RCA3,South Wales West
00PB,Bridgend,00PBPE,Morfa,RCA3,South Wales West
00PB,Bridgend,00PBPF,Nant-y-moel,RCA3,South Wales West
00PB,Bridgend,00PBPG,Newcastle,RCA3,South Wales West
00PB,Bridgend,00PBPH,Newton,RCA3,South Wales West
00PB,Bridgend,00PBPJ,Nottage,RCA3,South Wales West
00PB,Bridgend,00PBPK,Ogmore Vale,RCA3,South Wales West
00PB,Bridgend,00PBPL,Oldcastle,RCA3,South Wales West
00PB,Bridgend,00PBPM,Pendre,RCA3,South Wales West
00PB,Bridgend,00PBPN,Penprysg,RCA3,South Wales West
00PB,Bridgend,00PBPP,Pen-y-fai,RCA3,South Wales West
00PB,Bridgend,00PBPQ,Pontycymmer,RCA3,South Wales West
00PB,Bridgend,00PBPR,Porthcawl East Central,RCA3,South Wales West
00PB,Bridgend,00PBPS,Porthcawl West Central,RCA3,South Wales West
00PB,Bridgend,00PBPT,Pyle,RCA3,South Wales West
00PB,Bridgend,00PBPU,Rest Bay,RCA3,South Wales West
00PB,Bridgend,00PBPW,Sarn,RCA3,South Wales West
00PB,Bridgend,00PBPX,Ynysawdre,RCA3,South Wales West
00PD,The Vale of Glamorgan,00PDMZ,Baruc,RCA4,South Wales Central
00PD,The Vale of Glamorgan,00PDNA,Buttrills,RCA4,South Wales Central
00PD,The Vale of Glamorgan,00PDNB,Cadoc,RCA4,South Wales Central
00PD,The Vale of Glamorgan,00PDNC,Castleland,RCA4,South Wales Central
00PD,The Vale of Glamorgan,00PDND,Cornerswell,RCA4,South Wales Central
00PD,The Vale of Glamorgan,00PDNE,Court,RCA4,South Wales Central
00PD,The Vale of Glamorgan,00PDNF,Cowbridge,RCA3,South Wales West
00PD,The Vale of Glamorgan,00PDNF,Cowbridge,RCA4,South Wales Central
00PD,The Vale of Glamorgan,00PDNG,Dinas Powys,RCA4,South Wales Central
00PD,The Vale of Glamorgan,00PDNH,Dyfan,RCA4,South Wales Central
00PD,The Vale of Glamorgan,00PDNJ,Gibbonsdown,RCA4,South Wales Central
00PD,The Vale of Glamorgan,00PDNK,Illtyd,RCA4,South Wales Central
00PD,The Vale of Glamorgan,00PDNL,Llandough,RCA4,South Wales Central
00PD,The Vale of Glamorgan,00PDNM,Llandow/Ewenny,RCA3,South Wales West
00PD,The Vale of Glamorgan,00PDNM,Llandow/Ewenny,RCA4,South Wales Central
00PD,The Vale of Glamorgan,00PDNN,Llantwit Major,RCA4,South Wales Central
00PD,The Vale of Glamorgan,00PDNP,Peterston-super-Ely,RCA4,South Wales Central
00PD,The Vale of Glamorgan,00PDNQ,Plymouth,RCA4,South Wales Central
00PD,The Vale of Glamorgan,00PDNR,Rhoose,RCA4,South Wales Central
00PD,The Vale of Glamorgan,00PDNS,St. Athan,RCA4,South Wales Central
00PD,The Vale of Glamorgan,00PDNT,St. Augustine's,RCA4,South Wales Central
00PD,The Vale of Glamorgan,00PDNU,St. Bride's Major,RCA3,South Wales West
00PD,The Vale of Glamorgan,00PDNW,Stanwell,RCA4,South Wales Central
00PD,The Vale of Glamorgan,00PDNX,Sully,RCA4,South Wales Central
00PD,The Vale of Glamorgan,00PDNY,Wenvoe,RCA4,South Wales Central
00PF,"Rhondda, Cynon, Taff",00PFPH,Aberaman North,RCA4,South Wales Central
00PF,"Rhondda, Cynon, Taff",00PFPJ,Aberaman South,RCA4,South Wales Central
00PF,"Rhondda, Cynon, Taff",00PFPK,Abercynon,RCA4,South Wales Central
00PF,"Rhondda, Cynon, Taff",00PFPL,Aberdare East,RCA4,South Wales Central
00PF,"Rhondda, Cynon, Taff",00PFPM,Aberdare West/Llwydcoed,RCA4,South Wales Central
00PF,"Rhondda, Cynon, Taff",00PFPN,Beddau,RCA4,South Wales Central
00PF,"Rhondda, Cynon, Taff",00PFPP,Brynna,RCA3,South Wales West
00PF,"Rhondda, Cynon, Taff",00PFPQ,Church Village,RCA4,South Wales Central
00PF,"Rhondda, Cynon, Taff",00PFPR,Cilfynydd,RCA4,South Wales Central
00PF,"Rhondda, Cynon, Taff",00PFPS,Cwm Clydach,RCA4,South Wales Central
00PF,"Rhondda, Cynon, Taff",00PFPT,Cwmbach,RCA4,South Wales Central
00PF,"Rhondda, Cynon, Taff",00PFPU,Cymmer,RCA4,South Wales Central
00PF,"Rhondda, Cynon, Taff",00PFPW,Ferndale,RCA4,South Wales Central
00PF,"Rhondda, Cynon, Taff",00PFPX,Gilfach Goch,RCA3,South Wales West
00PF,"Rhondda, Cynon, Taff",00PFPY,Glyncoch,RCA4,South Wales Central
00PF,"Rhondda, Cynon, Taff",00PFPZ,Graig,RCA4,South Wales Central
00PF,"Rhondda, Cynon, Taff",00PFQA,Hawthorn,RCA4,South Wales Central
00PF,"Rhondda, Cynon, Taff",00PFQB,Hirwaun,RCA4,South Wales Central
00PF,"Rhondda, Cynon, Taff",00PFQC,Llanharan,RCA3,South Wales West
00PF,"Rhondda, Cynon, Taff",00PFQD,Llanharry,RCA3,South Wales West
00PF,"Rhondda, Cynon, Taff",00PFQE,Llantrisant Town,RCA4,South Wales Central
00PF,"Rhondda, Cynon, Taff",00PFQF,Llantwit Fardre,RCA4,South Wales Central
00PF,"Rhondda, Cynon, Taff",00PFQG,Llwyn-y-pia,RCA4,South Wales Central
00PF,"Rhondda, Cynon, Taff",00PFQH,Maerdy,RCA4,South Wales Central
00PF,"Rhondda, Cynon, Taff",00PFQJ,Mountain Ash East,RCA4,South Wales Central
00PF,"Rhondda, Cynon, Taff",00PFQK,Mountain Ash West,RCA4,South Wales Central
00PF,"Rhondda, Cynon, Taff",00PFQL,Penrhiwceiber,RCA4,South Wales Central
00PF,"Rhondda, Cynon, Taff",00PFQM,Pentre,RCA4,South Wales Central
00PF,"Rhondda, Cynon, Taff",00PFQN,Pen-y-graig,RCA4,South Wales Central
00PF,"Rhondda, Cynon, Taff",00PFQP,Pen-y-waun,RCA4,South Wales Central
00PF,"Rhondda, Cynon, Taff",00PFQQ,Pont-y-clun,RCA4,South Wales Central
00PF,"Rhondda, Cynon, Taff",00PFQR,Pontypridd Town,RCA4,South Wales Central
00PF,"Rhondda, Cynon, Taff",00PFQS,Porth,RCA4,South Wales Central
00PF,"Rhondda, Cynon, Taff",00PFQT,Rhigos,RCA4,South Wales Central
00PF,"Rhondda, Cynon, Taff",00PFQU,Rhondda,RCA4,South Wales Central
00PF,"Rhondda, Cynon, Taff",00PFQW,Rhydfelen Central/Ilan,RCA4,South Wales Central
00PF,"Rhondda, Cynon, Taff",00PFQX,Taffs Well,RCA4,South Wales Central
00PF,"Rhondda, Cynon, Taff",00PFQY,Talbot Green,RCA4,South Wales Central
00PF,"Rhondda, Cynon, Taff",00PFQZ,Ton-teg,RCA4,South Wales Central
00PF,"Rhondda, Cynon, Taff",00PFRA,Tonypandy,RCA4,South Wales Central
00PF,"Rhondda, Cynon, Taff",00PFRB,Tonyrefail East,RCA4,South Wales Central
00PF,"Rhondda, Cynon, Taff",00PFRC,Tonyrefail West,RCA4,South Wales Central
00PF,"Rhondda, Cynon, Taff",00PFRD,Trallwng,RCA4,South Wales Central
00PF,"Rhondda, Cynon, Taff",00PFRE,Trealaw,RCA4,South Wales Central
00PF,"Rhondda, Cynon, Taff",00PFRF,Treforest,RCA4,South Wales Central
00PF,"Rhondda, Cynon, Taff",00PFRG,Treherbert,RCA4,South Wales Central
00PF,"Rhondda, Cynon, Taff",00PFRH,Treorchy,RCA4,South Wales Central
00PF,"Rhondda, Cynon, Taff",00PFRJ,Tylorstown,RCA4,South Wales Central
00PF,"Rhondda, Cynon, Taff",00PFRK,Tyn-y-nant,RCA4,South Wales Central
00PF,"Rhondda, Cynon, Taff",00PFRL,Ynyshir,RCA4,South Wales Central
00PF,"Rhondda, Cynon, Taff",00PFRM,Ynysybwl,RCA4,South Wales Central
00PF,"Rhondda, Cynon, Taff",00PFRN,Ystrad,RCA4,South Wales Central
00PH,Merthyr Tydfil,,,RCA5,South Wales East
00PK,Caerphilly,,,RCA5,South Wales East
00PL,Blaenau Gwent,,,RCA5,South Wales East
00PM,Torfaen,,,RCA5,South Wales East
00PP,Monmouthshire,,,RCA5,South Wales East
00PR,Newport,,,RCA5,South Wales East
00PT,Cardiff,,,RCA4,South Wales Central